asset_id,hostname,environment,application,service_owner,business_unit,status,region,os_type,lifecycle_state
ASSET-000991,notification-service-dev-0991.internal,dev,notification-service,Platform Engineering,Platform,active,ap-southeast,linux,active
ASSET-000992,analytics-pipeline-staging-0992.internal,staging,analytics-pipeline,Data Engineering,Platform,active,eu-west,windows,active
ASSET-000993,payment-gateway-prod-0993.internal,prod,payment-gateway,Payments Team,Finance,active,us-east,linux,active
ASSET-000994,auth-service-prod-0994.internal,prod,auth-service,Security Team,Platform,active,eu-west,windows,active
ASSET-000995,billing-engine-qa-0995.internal,qa,billing-engine,Payments Team,Finance,active,us-east,linux,active
ASSET-000996,search-service-qa-0996.internal,qa,search-service,Platform Engineering,Retail,active,us-west,linux,deprecated
ASSET-000997,billing-engine-qa-0997.internal,qa,billing-engine,Payments Team,Finance,active,us-west,windows,active
ASSET-000998,notification-service-prod-0998.internal,prod,notification-service,Platform Engineering,Platform,active,us-west,windows,provisioning
ASSET-000999,api-gateway-prod-0999.internal,prod,api-gateway,SRE Team,Platform,active,eu-west,windows,active
ASSET-001000,billing-engine-prod-1000.internal,prod,billing-engine,Payments Team,Finance,active,us-east,linux,active
ASSET-001001,fraud-detection-qa-1001.internal,qa,fraud-detection,Security Team,Finance,maintenance,ap-southeast,linux,active
ASSET-001002,warehouse-management-dev-1002.internal,dev,warehouse-management,Logistics Team,Logistics,active,eu-west,windows,active
ASSET-001003,analytics-pipeline-qa-1003.internal,qa,analytics-pipeline,Data Engineering,Platform,maintenance,us-west,windows,active
ASSET-001004,reporting-dashboard-dev-1004.internal,dev,reporting-dashboard,Data Engineering,Platform,active,ap-southeast,windows,provisioning
ASSET-001005,inventory-service-dev-1005.internal,dev,inventory-service,Logistics Team,Logistics,active,us-west,windows,provisioning
ASSET-001006,reporting-dashboard-qa-1006.internal,qa,reporting-dashboard,Data Engineering,Platform,active,us-west,linux,active
ASSET-001007,fraud-detection-staging-1007.internal,staging,fraud-detection,Security Team,Finance,active,us-east,linux,active
ASSET-001008,billing-engine-prod-1008.internal,prod,billing-engine,Payments Team,Finance,active,ap-southeast,windows,active
ASSET-001009,warehouse-management-prod-1009.internal,prod,warehouse-management,Logistics Team,Logistics,maintenance,ap-southeast,linux,active
ASSET-001010,billing-engine-prod-1010.internal,prod,billing-engine,Payments Team,Finance,active,us-east,windows,deprecated
ASSET-001011,customer-portal-prod-1011.internal,prod,customer-portal,Customer Experience Team,Retail,decommissioned,ap-southeast,linux,retired
ASSET-001012,warehouse-management-staging-1012.internal,staging,warehouse-management,Logistics Team,Logistics,active,ap-southeast,windows,active
ASSET-001013,shipping-tracker-dev-1013.internal,dev,shipping-tracker,Logistics Team,Logistics,active,us-west,windows,active
ASSET-001014,customer-portal-staging-1014.internal,staging,customer-portal,Customer Experience Team,Retail,active,ap-southeast,linux,active
ASSET-001015,billing-engine-dev-1015.internal,dev,billing-engine,Payments Team,Finance,active,eu-west,windows,active
ASSET-001016,fraud-detection-dev-1016.internal,dev,fraud-detection,Security Team,Finance,active,eu-west,linux,active
ASSET-001017,notification-service-dev-1017.internal,dev,notification-service,Platform Engineering,Platform,active,us-east,linux,active
ASSET-001018,billing-engine-prod-1018.internal,prod,billing-engine,Payments Team,Finance,active,us-east,windows,active
ASSET-001019,order-service-staging-1019.internal,staging,order-service,Platform Engineering,Retail,active,eu-west,linux,active
ASSET-001020,inventory-service-prod-1020.internal,prod,inventory-service,Logistics Team,Logistics,active,us-west,linux,active
ASSET-001021,order-service-prod-1021.internal,prod,order-service,Platform Engineering,Retail,active,ap-southeast,linux,provisioning
ASSET-001022,inventory-service-prod-1022.internal,prod,inventory-service,Logistics Team,Logistics,active,us-east,macos,active
ASSET-001023,reporting-dashboard-dev-1023.internal,dev,reporting-dashboard,Data Engineering,Platform,active,ap-southeast,linux,active
ASSET-001024,fraud-detection-prod-1024.internal,prod,fraud-detection,Security Team,Finance,active,eu-west,windows,active
ASSET-001025,fraud-detection-prod-1025.internal,prod,fraud-detection,Security Team,Finance,active,ap-southeast,linux,active
ASSET-001026,order-service-prod-1026.internal,prod,order-service,Platform Engineering,Retail,decommissioned,ap-southeast,linux,active
ASSET-001027,inventory-service-dev-1027.internal,dev,inventory-service,Logistics Team,Logistics,maintenance,ap-southeast,windows,deprecated
ASSET-001028,customer-portal-dev-1028.internal,dev,customer-portal,Customer Experience Team,Retail,active,us-west,linux,active
ASSET-001029,analytics-pipeline-prod-1029.internal,prod,analytics-pipeline,Data Engineering,Platform,active,eu-west,windows,active
ASSET-001030,notification-service-dev-1030.internal,dev,notification-service,Platform Engineering,Platform,active,us-east,windows,active
ASSET-001031,billing-engine-qa-1031.internal,qa,billing-engine,Payments Team,Finance,maintenance,us-west,macos,active
ASSET-001032,payment-gateway-qa-1032.internal,qa,payment-gateway,Payments Team,Finance,active,us-west,windows,deprecated
ASSET-001033,recommendation-engine-dev-1033.internal,dev,recommendation-engine,Data Engineering,Retail,maintenance,us-west,linux,deprecated
ASSET-001034,customer-portal-dev-1034.internal,dev,customer-portal,Customer Experience Team,Retail,decommissioned,eu-west,windows,active
ASSET-001035,order-service-prod-1035.internal,prod,order-service,Platform Engineering,Retail,active,us-east,linux,active
ASSET-001036,warehouse-management-prod-1036.internal,prod,warehouse-management,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-001037,reporting-dashboard-prod-1037.internal,prod,reporting-dashboard,Data Engineering,Platform,active,us-west,linux,active
ASSET-001038,order-service-dev-1038.internal,dev,order-service,Platform Engineering,Retail,active,us-east,windows,deprecated
ASSET-001039,auth-service-dev-1039.internal,dev,auth-service,Security Team,Platform,active,eu-west,linux,provisioning
ASSET-001040,fraud-detection-qa-1040.internal,qa,fraud-detection,Security Team,Finance,active,ap-southeast,linux,active
ASSET-001041,recommendation-engine-qa-1041.internal,qa,recommendation-engine,Data Engineering,Retail,active,eu-west,linux,active
ASSET-001042,fraud-detection-dev-1042.internal,dev,fraud-detection,Security Team,Finance,active,us-east,linux,active
ASSET-001043,auth-service-prod-1043.internal,prod,auth-service,Security Team,Platform,active,eu-west,windows,deprecated
ASSET-001044,notification-service-prod-1044.internal,prod,notification-service,Platform Engineering,Platform,active,eu-west,linux,active
ASSET-001045,recommendation-engine-qa-1045.internal,qa,recommendation-engine,Data Engineering,Retail,maintenance,eu-west,windows,active
ASSET-001046,payment-gateway-qa-1046.internal,qa,payment-gateway,Payments Team,Finance,active,us-west,windows,provisioning
ASSET-001047,shipping-tracker-qa-1047.internal,qa,shipping-tracker,Logistics Team,Logistics,active,us-east,linux,active
ASSET-001048,search-service-dev-1048.internal,dev,search-service,Platform Engineering,Retail,active,us-east,linux,active
ASSET-001049,recommendation-engine-dev-1049.internal,dev,recommendation-engine,Data Engineering,Retail,maintenance,us-west,linux,active
ASSET-001050,inventory-service-qa-1050.internal,qa,inventory-service,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-001051,billing-engine-qa-1051.internal,qa,billing-engine,Payments Team,Finance,active,eu-west,linux,active
ASSET-001052,notification-service-qa-1052.internal,qa,notification-service,Platform Engineering,Platform,active,eu-west,linux,active
ASSET-001053,billing-engine-prod-1053.internal,prod,billing-engine,Payments Team,Finance,active,us-west,windows,retired
ASSET-001054,api-gateway-dev-1054.internal,dev,api-gateway,SRE Team,Platform,active,us-west,linux,active
ASSET-001055,inventory-service-dev-1055.internal,dev,inventory-service,Logistics Team,Logistics,active,us-east,linux,active
ASSET-001056,api-gateway-dev-1056.internal,dev,api-gateway,SRE Team,Platform,active,ap-southeast,linux,active
ASSET-001057,auth-service-dev-1057.internal,dev,auth-service,Security Team,Platform,active,us-west,windows,deprecated
ASSET-001058,warehouse-management-qa-1058.internal,qa,warehouse-management,Logistics Team,Logistics,maintenance,eu-west,linux,provisioning
ASSET-001059,auth-service-prod-1059.internal,prod,auth-service,Security Team,Platform,active,us-west,windows,active
ASSET-001060,customer-portal-prod-1060.internal,prod,customer-portal,Customer Experience Team,Retail,active,us-west,linux,active
ASSET-001061,warehouse-management-staging-1061.internal,staging,warehouse-management,Logistics Team,Logistics,active,us-east,windows,active
ASSET-001062,recommendation-engine-qa-1062.internal,qa,recommendation-engine,Data Engineering,Retail,active,ap-southeast,linux,active
ASSET-001063,payment-gateway-dev-1063.internal,dev,payment-gateway,Payments Team,Finance,active,us-east,linux,active
ASSET-001064,recommendation-engine-qa-1064.internal,qa,recommendation-engine,Data Engineering,Retail,active,ap-southeast,linux,active
ASSET-001065,warehouse-management-dev-1065.internal,dev,warehouse-management,Logistics Team,Logistics,active,us-east,linux,active
ASSET-001066,notification-service-prod-1066.internal,prod,notification-service,Platform Engineering,Platform,active,us-east,windows,deprecated
ASSET-001067,reporting-dashboard-qa-1067.internal,qa,reporting-dashboard,Data Engineering,Platform,maintenance,ap-southeast,linux,provisioning
ASSET-001068,search-service-dev-1068.internal,dev,search-service,Platform Engineering,Retail,maintenance,ap-southeast,linux,provisioning
ASSET-001069,notification-service-dev-1069.internal,dev,notification-service,Platform Engineering,Platform,active,ap-southeast,linux,retired
ASSET-001070,order-service-dev-1070.internal,dev,order-service,Platform Engineering,Retail,active,ap-southeast,linux,active
ASSET-001071,recommendation-engine-prod-1071.internal,prod,recommendation-engine,Data Engineering,Retail,decommissioned,us-west,windows,active
ASSET-001072,shipping-tracker-dev-1072.internal,dev,shipping-tracker,Logistics Team,Logistics,active,us-east,linux,active
ASSET-001073,warehouse-management-dev-1073.internal,dev,warehouse-management,Logistics Team,Logistics,active,eu-west,windows,active
ASSET-001074,billing-engine-dev-1074.internal,dev,billing-engine,Payments Team,Finance,active,eu-west,windows,active
ASSET-001075,billing-engine-prod-1075.internal,prod,billing-engine,Payments Team,Finance,active,eu-west,linux,active
ASSET-001076,payment-gateway-qa-1076.internal,qa,payment-gateway,Payments Team,Finance,active,us-east,linux,active
ASSET-001077,recommendation-engine-staging-1077.internal,staging,recommendation-engine,Data Engineering,Retail,active,us-east,linux,active
ASSET-001078,payment-gateway-qa-1078.internal,qa,payment-gateway,Payments Team,Finance,active,eu-west,linux,active
ASSET-001079,auth-service-dev-1079.internal,dev,auth-service,Security Team,Platform,active,ap-southeast,windows,active
ASSET-001080,fraud-detection-prod-1080.internal,prod,fraud-detection,Security Team,Finance,active,ap-southeast,linux,active
ASSET-001081,reporting-dashboard-dev-1081.internal,dev,reporting-dashboard,Data Engineering,Platform,active,eu-west,linux,active
ASSET-001082,api-gateway-dev-1082.internal,dev,api-gateway,SRE Team,Platform,active,us-west,windows,deprecated
ASSET-001083,api-gateway-qa-1083.internal,qa,api-gateway,SRE Team,Platform,active,us-west,linux,provisioning
ASSET-001084,analytics-pipeline-dev-1084.internal,dev,analytics-pipeline,Data Engineering,Platform,active,eu-west,windows,active
ASSET-001085,shipping-tracker-dev-1085.internal,dev,shipping-tracker,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-001086,fraud-detection-prod-1086.internal,prod,fraud-detection,Security Team,Finance,active,us-east,linux,active
ASSET-001087,fraud-detection-qa-1087.internal,qa,fraud-detection,Security Team,Finance,active,us-west,linux,provisioning
ASSET-001088,api-gateway-dev-1088.internal,dev,api-gateway,SRE Team,Platform,active,eu-west,linux,deprecated
ASSET-001089,search-service-dev-1089.internal,dev,search-service,Platform Engineering,Retail,active,ap-southeast,macos,active
ASSET-001090,payment-gateway-staging-1090.internal,staging,payment-gateway,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-001091,billing-engine-dev-1091.internal,dev,billing-engine,Payments Team,Finance,active,ap-southeast,windows,active
ASSET-001092,auth-service-dev-1092.internal,dev,auth-service,Security Team,Platform,active,us-east,macos,active
ASSET-001093,fraud-detection-staging-1093.internal,staging,fraud-detection,Security Team,Finance,active,us-west,linux,active
ASSET-001094,notification-service-staging-1094.internal,staging,notification-service,Platform Engineering,Platform,active,eu-west,windows,active
ASSET-001095,customer-portal-prod-1095.internal,prod,customer-portal,Customer Experience Team,Retail,maintenance,ap-southeast,linux,active
ASSET-001096,inventory-service-qa-1096.internal,qa,inventory-service,Logistics Team,Logistics,active,us-west,linux,active
ASSET-001097,fraud-detection-dev-1097.internal,dev,fraud-detection,Security Team,Finance,active,ap-southeast,macos,active
ASSET-001098,warehouse-management-qa-1098.internal,qa,warehouse-management,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-001099,order-service-staging-1099.internal,staging,order-service,Platform Engineering,Retail,active,eu-west,windows,provisioning
ASSET-001100,auth-service-dev-1100.internal,dev,auth-service,Security Team,Platform,active,eu-west,linux,active
ASSET-001101,billing-engine-qa-1101.internal,qa,billing-engine,Payments Team,Finance,decommissioned,ap-southeast,linux,provisioning
ASSET-001102,billing-engine-dev-1102.internal,dev,billing-engine,Payments Team,Finance,active,eu-west,linux,active
ASSET-001103,reporting-dashboard-prod-1103.internal,prod,reporting-dashboard,Data Engineering,Platform,active,eu-west,linux,active
ASSET-001104,payment-gateway-prod-1104.internal,prod,payment-gateway,Payments Team,Finance,active,us-west,linux,active
ASSET-001105,customer-portal-qa-1105.internal,qa,customer-portal,Customer Experience Team,Retail,decommissioned,us-west,windows,active
ASSET-001106,payment-gateway-prod-1106.internal,prod,payment-gateway,Payments Team,Finance,active,eu-west,linux,active
ASSET-001107,shipping-tracker-prod-1107.internal,prod,shipping-tracker,Logistics Team,Logistics,active,ap-southeast,macos,active
ASSET-001108,reporting-dashboard-dev-1108.internal,dev,reporting-dashboard,Data Engineering,Platform,active,eu-west,linux,active
ASSET-001109,api-gateway-qa-1109.internal,qa,api-gateway,SRE Team,Platform,active,ap-southeast,linux,active
ASSET-001110,order-service-staging-1110.internal,staging,order-service,Platform Engineering,Retail,active,eu-west,linux,active
ASSET-001111,search-service-dev-1111.internal,dev,search-service,Platform Engineering,Retail,active,us-west,linux,active
ASSET-001112,shipping-tracker-qa-1112.internal,qa,shipping-tracker,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-001113,payment-gateway-dev-1113.internal,dev,payment-gateway,Payments Team,Finance,maintenance,eu-west,linux,provisioning
ASSET-001114,customer-portal-prod-1114.internal,prod,customer-portal,Customer Experience Team,Retail,active,ap-southeast,linux,active
ASSET-001115,payment-gateway-qa-1115.internal,qa,payment-gateway,Payments Team,Finance,maintenance,us-west,linux,active
ASSET-001116,billing-engine-prod-1116.internal,prod,billing-engine,Payments Team,Finance,active,us-east,linux,active
ASSET-001117,api-gateway-qa-1117.internal,qa,api-gateway,SRE Team,Platform,active,us-east,linux,active
ASSET-001118,analytics-pipeline-dev-1118.internal,dev,analytics-pipeline,Data Engineering,Platform,active,us-east,linux,active
ASSET-001119,recommendation-engine-prod-1119.internal,prod,recommendation-engine,Data Engineering,Retail,active,eu-west,linux,active
ASSET-001120,billing-engine-dev-1120.internal,dev,billing-engine,Payments Team,Finance,active,ap-southeast,windows,active
ASSET-001121,order-service-dev-1121.internal,dev,order-service,Platform Engineering,Retail,active,eu-west,linux,active
ASSET-001122,inventory-service-qa-1122.internal,qa,inventory-service,Logistics Team,Logistics,decommissioned,us-east,linux,active
ASSET-001123,customer-portal-staging-1123.internal,staging,customer-portal,Customer Experience Team,Retail,active,us-west,linux,active
ASSET-001124,shipping-tracker-dev-1124.internal,dev,shipping-tracker,Logistics Team,Logistics,active,ap-southeast,linux,retired
ASSET-001125,fraud-detection-dev-1125.internal,dev,fraud-detection,Security Team,Finance,active,us-east,windows,provisioning
ASSET-001126,fraud-detection-dev-1126.internal,dev,fraud-detection,Security Team,Finance,active,eu-west,windows,active
ASSET-001127,fraud-detection-dev-1127.internal,dev,fraud-detection,Security Team,Finance,active,us-west,windows,active
ASSET-001128,search-service-dev-1128.internal,dev,search-service,Platform Engineering,Retail,decommissioned,ap-southeast,linux,active
ASSET-001129,analytics-pipeline-qa-1129.internal,qa,analytics-pipeline,Data Engineering,Platform,active,eu-west,linux,active
ASSET-001130,search-service-dev-1130.internal,dev,search-service,Platform Engineering,Retail,active,eu-west,linux,active
ASSET-001131,auth-service-dev-1131.internal,dev,auth-service,Security Team,Platform,active,eu-west,windows,active
ASSET-001132,recommendation-engine-staging-1132.internal,staging,recommendation-engine,Data Engineering,Retail,active,ap-southeast,linux,active
ASSET-001133,warehouse-management-staging-1133.internal,staging,warehouse-management,Logistics Team,Logistics,active,eu-west,linux,deprecated
ASSET-001134,warehouse-management-dev-1134.internal,dev,warehouse-management,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-001135,search-service-dev-1135.internal,dev,search-service,Platform Engineering,Retail,active,ap-southeast,windows,retired
ASSET-001136,order-service-dev-1136.internal,dev,order-service,Platform Engineering,Retail,active,eu-west,linux,deprecated
ASSET-001137,recommendation-engine-prod-1137.internal,prod,recommendation-engine,Data Engineering,Retail,active,eu-west,linux,provisioning
ASSET-001138,notification-service-dev-1138.internal,dev,notification-service,Platform Engineering,Platform,maintenance,us-west,windows,active
ASSET-001139,warehouse-management-dev-1139.internal,dev,warehouse-management,Logistics Team,Logistics,active,us-west,linux,active
ASSET-001140,analytics-pipeline-qa-1140.internal,qa,analytics-pipeline,Data Engineering,Platform,active,us-east,macos,active
ASSET-001141,reporting-dashboard-dev-1141.internal,dev,reporting-dashboard,Data Engineering,Platform,active,eu-west,linux,active
ASSET-001142,notification-service-dev-1142.internal,dev,notification-service,Platform Engineering,Platform,active,us-west,windows,active
ASSET-001143,reporting-dashboard-dev-1143.internal,dev,reporting-dashboard,Data Engineering,Platform,active,ap-southeast,windows,active
ASSET-001144,fraud-detection-staging-1144.internal,staging,fraud-detection,Security Team,Finance,active,ap-southeast,linux,active
ASSET-001145,customer-portal-staging-1145.internal,staging,customer-portal,Customer Experience Team,Retail,active,ap-southeast,windows,provisioning
ASSET-001146,billing-engine-staging-1146.internal,staging,billing-engine,Payments Team,Finance,active,us-west,linux,active
ASSET-001147,billing-engine-prod-1147.internal,prod,billing-engine,Payments Team,Finance,active,eu-west,linux,active
ASSET-001148,warehouse-management-dev-1148.internal,dev,warehouse-management,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-001149,recommendation-engine-prod-1149.internal,prod,recommendation-engine,Data Engineering,Retail,active,eu-west,linux,active
ASSET-001150,fraud-detection-staging-1150.internal,staging,fraud-detection,Security Team,Finance,active,eu-west,linux,active
ASSET-001151,notification-service-prod-1151.internal,prod,notification-service,Platform Engineering,Platform,active,us-west,linux,active
ASSET-001152,billing-engine-staging-1152.internal,staging,billing-engine,Payments Team,Finance,active,us-west,macos,active
ASSET-001153,auth-service-qa-1153.internal,qa,auth-service,Security Team,Platform,active,eu-west,windows,provisioning
ASSET-001154,reporting-dashboard-dev-1154.internal,dev,reporting-dashboard,Data Engineering,Platform,active,ap-southeast,linux,active
ASSET-001155,customer-portal-qa-1155.internal,qa,customer-portal,Customer Experience Team,Retail,active,us-east,linux,active
ASSET-001156,analytics-pipeline-dev-1156.internal,dev,analytics-pipeline,Data Engineering,Platform,active,us-east,linux,active
ASSET-001157,inventory-service-qa-1157.internal,qa,inventory-service,Logistics Team,Logistics,active,us-east,linux,active
ASSET-001158,fraud-detection-dev-1158.internal,dev,fraud-detection,Security Team,Finance,active,eu-west,windows,active
ASSET-001159,notification-service-dev-1159.internal,dev,notification-service,Platform Engineering,Platform,active,us-west,macos,active
ASSET-001160,notification-service-prod-1160.internal,prod,notification-service,Platform Engineering,Platform,active,us-west,linux,provisioning
ASSET-001161,analytics-pipeline-staging-1161.internal,staging,analytics-pipeline,Data Engineering,Platform,active,ap-southeast,linux,provisioning
ASSET-001162,billing-engine-qa-1162.internal,qa,billing-engine,Payments Team,Finance,active,us-east,linux,active
ASSET-001163,fraud-detection-dev-1163.internal,dev,fraud-detection,Security Team,Finance,decommissioned,us-east,linux,active
ASSET-001164,billing-engine-qa-1164.internal,qa,billing-engine,Payments Team,Finance,active,us-east,linux,deprecated
ASSET-001165,billing-engine-prod-1165.internal,prod,billing-engine,Payments Team,Finance,active,us-west,linux,provisioning
ASSET-001166,inventory-service-staging-1166.internal,staging,inventory-service,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-001167,order-service-staging-1167.internal,staging,order-service,Platform Engineering,Retail,active,us-east,linux,active
ASSET-001168,notification-service-qa-1168.internal,qa,notification-service,Platform Engineering,Platform,active,us-east,windows,active
ASSET-001169,api-gateway-dev-1169.internal,dev,api-gateway,SRE Team,Platform,maintenance,us-east,windows,active
ASSET-001170,reporting-dashboard-staging-1170.internal,staging,reporting-dashboard,Data Engineering,Platform,active,ap-southeast,linux,active
ASSET-001171,search-service-prod-1171.internal,prod,search-service,Platform Engineering,Retail,active,us-east,linux,active
ASSET-001172,search-service-qa-1172.internal,qa,search-service,Platform Engineering,Retail,active,eu-west,windows,active
ASSET-001173,notification-service-qa-1173.internal,qa,notification-service,Platform Engineering,Platform,active,eu-west,linux,active
ASSET-001174,payment-gateway-qa-1174.internal,qa,payment-gateway,Payments Team,Finance,active,us-east,windows,active
ASSET-001175,order-service-qa-1175.internal,qa,order-service,Platform Engineering,Retail,active,eu-west,linux,active
ASSET-001176,notification-service-prod-1176.internal,prod,notification-service,Platform Engineering,Platform,active,us-west,windows,active
ASSET-001177,customer-portal-staging-1177.internal,staging,customer-portal,Customer Experience Team,Retail,active,eu-west,linux,active
ASSET-001178,payment-gateway-qa-1178.internal,qa,payment-gateway,Payments Team,Finance,maintenance,us-east,windows,active
ASSET-001179,shipping-tracker-qa-1179.internal,qa,shipping-tracker,Logistics Team,Logistics,decommissioned,eu-west,linux,provisioning
ASSET-001180,order-service-qa-1180.internal,qa,order-service,Platform Engineering,Retail,active,ap-southeast,windows,provisioning
ASSET-001181,search-service-dev-1181.internal,dev,search-service,Platform Engineering,Retail,active,us-east,linux,provisioning
ASSET-001182,reporting-dashboard-qa-1182.internal,qa,reporting-dashboard,Data Engineering,Platform,active,eu-west,linux,provisioning
ASSET-001183,recommendation-engine-prod-1183.internal,prod,recommendation-engine,Data Engineering,Retail,active,eu-west,windows,active
ASSET-001184,auth-service-staging-1184.internal,staging,auth-service,Security Team,Platform,maintenance,us-east,linux,deprecated
ASSET-001185,auth-service-dev-1185.internal,dev,auth-service,Security Team,Platform,active,eu-west,linux,active
ASSET-001186,customer-portal-staging-1186.internal,staging,customer-portal,Customer Experience Team,Retail,active,eu-west,linux,active
ASSET-001187,payment-gateway-staging-1187.internal,staging,payment-gateway,Payments Team,Finance,active,us-west,windows,active
ASSET-001188,analytics-pipeline-dev-1188.internal,dev,analytics-pipeline,Data Engineering,Platform,active,us-west,windows,active
ASSET-001189,analytics-pipeline-staging-1189.internal,staging,analytics-pipeline,Data Engineering,Platform,active,eu-west,linux,deprecated
ASSET-001190,order-service-staging-1190.internal,staging,order-service,Platform Engineering,Retail,active,eu-west,windows,active
ASSET-001191,auth-service-prod-1191.internal,prod,auth-service,Security Team,Platform,active,ap-southeast,windows,provisioning
ASSET-001192,customer-portal-dev-1192.internal,dev,customer-portal,Customer Experience Team,Retail,active,us-east,linux,active
ASSET-001193,payment-gateway-dev-1193.internal,dev,payment-gateway,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-001194,recommendation-engine-qa-1194.internal,qa,recommendation-engine,Data Engineering,Retail,decommissioned,us-east,linux,provisioning
ASSET-001195,billing-engine-dev-1195.internal,dev,billing-engine,Payments Team,Finance,active,eu-west,linux,active
ASSET-001196,search-service-qa-1196.internal,qa,search-service,Platform Engineering,Retail,active,us-west,linux,active
ASSET-001197,recommendation-engine-prod-1197.internal,prod,recommendation-engine,Data Engineering,Retail,active,us-east,linux,provisioning
ASSET-001198,api-gateway-dev-1198.internal,dev,api-gateway,SRE Team,Platform,active,eu-west,windows,active
ASSET-001199,fraud-detection-qa-1199.internal,qa,fraud-detection,Security Team,Finance,active,eu-west,linux,active
ASSET-001200,search-service-prod-1200.internal,prod,search-service,Platform Engineering,Retail,active,eu-west,linux,active
ASSET-001201,reporting-dashboard-qa-1201.internal,qa,reporting-dashboard,Data Engineering,Platform,active,us-west,linux,active
ASSET-001202,billing-engine-qa-1202.internal,qa,billing-engine,Payments Team,Finance,active,us-west,linux,active
ASSET-001203,api-gateway-qa-1203.internal,qa,api-gateway,SRE Team,Platform,maintenance,eu-west,windows,active
ASSET-001204,warehouse-management-dev-1204.internal,dev,warehouse-management,Logistics Team,Logistics,active,us-east,linux,active
ASSET-001205,search-service-dev-1205.internal,dev,search-service,Platform Engineering,Retail,active,ap-southeast,windows,active
ASSET-001206,reporting-dashboard-staging-1206.internal,staging,reporting-dashboard,Data Engineering,Platform,active,eu-west,linux,provisioning
ASSET-001207,billing-engine-qa-1207.internal,qa,billing-engine,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-001208,recommendation-engine-dev-1208.internal,dev,recommendation-engine,Data Engineering,Retail,active,us-east,linux,deprecated
ASSET-001209,customer-portal-dev-1209.internal,dev,customer-portal,Customer Experience Team,Retail,active,eu-west,windows,provisioning
ASSET-001210,api-gateway-prod-1210.internal,prod,api-gateway,SRE Team,Platform,active,eu-west,linux,active
ASSET-001211,search-service-dev-1211.internal,dev,search-service,Platform Engineering,Retail,decommissioned,ap-southeast,linux,active
ASSET-001212,warehouse-management-staging-1212.internal,staging,warehouse-management,Logistics Team,Logistics,active,us-west,linux,active
ASSET-001213,auth-service-qa-1213.internal,qa,auth-service,Security Team,Platform,active,ap-southeast,linux,active
ASSET-001214,reporting-dashboard-qa-1214.internal,qa,reporting-dashboard,Data Engineering,Platform,active,us-east,linux,provisioning
ASSET-001215,inventory-service-dev-1215.internal,dev,inventory-service,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-001216,inventory-service-dev-1216.internal,dev,inventory-service,Logistics Team,Logistics,maintenance,eu-west,windows,active
ASSET-001217,billing-engine-qa-1217.internal,qa,billing-engine,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-001218,recommendation-engine-staging-1218.internal,staging,recommendation-engine,Data Engineering,Retail,active,us-east,windows,active
ASSET-001219,fraud-detection-dev-1219.internal,dev,fraud-detection,Security Team,Finance,maintenance,us-west,windows,active
ASSET-001220,auth-service-qa-1220.internal,qa,auth-service,Security Team,Platform,maintenance,eu-west,linux,active
ASSET-001221,search-service-qa-1221.internal,qa,search-service,Platform Engineering,Retail,active,eu-west,linux,active
ASSET-001222,analytics-pipeline-dev-1222.internal,dev,analytics-pipeline,Data Engineering,Platform,maintenance,us-east,linux,active
ASSET-001223,api-gateway-qa-1223.internal,qa,api-gateway,SRE Team,Platform,active,eu-west,linux,active
ASSET-001224,search-service-dev-1224.internal,dev,search-service,Platform Engineering,Retail,active,us-west,macos,active
ASSET-001225,auth-service-qa-1225.internal,qa,auth-service,Security Team,Platform,active,us-east,windows,provisioning
ASSET-001226,api-gateway-dev-1226.internal,dev,api-gateway,SRE Team,Platform,active,eu-west,linux,active
ASSET-001227,inventory-service-qa-1227.internal,qa,inventory-service,Logistics Team,Logistics,active,eu-west,linux,provisioning
ASSET-001228,api-gateway-dev-1228.internal,dev,api-gateway,SRE Team,Platform,active,us-east,linux,deprecated
ASSET-001229,payment-gateway-qa-1229.internal,qa,payment-gateway,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-001230,customer-portal-qa-1230.internal,qa,customer-portal,Customer Experience Team,Retail,active,eu-west,linux,active
ASSET-001231,fraud-detection-prod-1231.internal,prod,fraud-detection,Security Team,Finance,maintenance,us-west,linux,active
ASSET-001232,warehouse-management-qa-1232.internal,qa,warehouse-management,Logistics Team,Logistics,maintenance,ap-southeast,linux,active
ASSET-001233,api-gateway-prod-1233.internal,prod,api-gateway,SRE Team,Platform,active,ap-southeast,linux,deprecated
ASSET-001234,warehouse-management-dev-1234.internal,dev,warehouse-management,Logistics Team,Logistics,maintenance,ap-southeast,linux,active
ASSET-001235,search-service-qa-1235.internal,qa,search-service,Platform Engineering,Retail,active,ap-southeast,linux,active
